Time (s),Amplitude,Amplitude 2
0,0,200
0.01,3100,3300
0.02,5900,6100
0.03,8100,8300
0.04,9500,9700
0.05,10000,10200
0.06,9500,9700
0.07,8100,8300
0.08,5900,6100
0.09,3100,3300
0.1,0,200
0.11,-3100,-2900
0.12,-5900,-5700
0.13,-8100,-7900
0.14,-9500,-9300
0.15,-10000,-9800
0.16,-9500,-9300
0.17,-8100,-7900
0.18,-5900,-5700
0.19,-3100,-2900
0.2,0,200
0.21,3100,3300
0.22,5900,6100
0.23,8100,8300
0.24,9500,9700
0.25,10000,10200
0.26,9500,9700
0.27,8100,8300
0.28,5900,6100
0.29,3100,3300
0.3,0,200
0.31,-3100,-2900
0.32,-5900,-5700
0.33,-8100,-7900
0.34,-9500,-9300
0.35,-10000,-9800
0.36,-9500,-9300
0.37,-8100,-7900
0.38,-5900,-5700
0.39,-3100,-2900
0.4,0,200
