X-Value,Y-Value-1,Y-Value-2,Y-Value-3
0,10,10,10
1,20,20,20
2,30,30,30
3,20,20,20
4,10,10,10
5,20,20,20
6,30,30,30
7,20,20,20
8,10,10,10
9,20,20,20
10,30,30,30
11,20,20,20
12,10,10,10
13,20,20,20
14,30,30,30
15,20,20,20
16,10,10,10
17,20,20,20
18,30,30,30
19,20,20,20
20,10,10,10
21,20,20,20
22,30,30,30
23,20,20,20
24,10,10,10
25,20,20,20
26,30,30,30
27,20,20,20
28,10,10,10
29,20,20,20
30,30,30,30
31,20,20,20
32,10,10,10
33,20,20,20
34,30,30,30
35,20,20,20
36,10,10,10
37,20,20,20
38,30,30,30
39,20,20,20
40,10,10,10
41,20,20,20
42,30,30,30
43,20,20,20
44,10,10,10
45,20,20,20
46,30,30,30
47,20,20,20
48,10,10,10
49,20,20,20
50,30,30,30
51,20,20,20
52,10,10,10
53,20,20,20
54,30,30,30
55,20,20,20
56,10,10,10
57,20,20,20
58,30,30,30
59,20,20,20
60,10,10,10
61,20,20,20
62,30,30,30
63,20,20,20
64,10,10,10
65,20,20,20
66,30,30,30
67,20,20,20
68,10,10,10
69,20,20,20
70,30,30,30
71,20,20,20
72,10,10,10
73,20,20,20
74,30,30,30
75,20,20,20
76,10,10,10
77,20,20,20
78,30,30,30
79,20,20,20
80,10,10,10
81,20,20,20
82,30,30,30
83,20,20,20
84,10,10,10
85,20,20,20
86,30,30,30
87,20,20,20
88,10,10,10
89,20,20,20
90,30,30,30
91,20,20,20
92,10,10,10
93,20,20,20
94,30,30,30
95,20,20,20
96,10,10,10
97,20,20,20
98,30,30,30
99,20,20,20
