time,Y-Value-1,Y-Value-2,Y-Value-3,time_x,time_y,time_z
0.1,10,10,10,23,23,23
0.2,20,20,20,41,41,41
0.3,30,30,30,25,25,25
0.4,20,20,20,23,23,23
0.5,10,10,10,21,21,21
0.6,20,20,20,23,23,23
0.7,30,30,30,45,45,45
0.8,20,20,20,12,12,12
0.9,10,10,10,12,12,12
1,20,20,20,24,24,24
1.1,30,30,30,42,42,42
1.2,20,20,20,26,26,26
1.3,10,10,10,24,24,24
1.4,20,20,20,22,22,22
1.5,30,30,30,24,24,24
1.6,20,20,20,46,46,46
1.7,10,10,10,13,13,13
1.8,20,20,20,13,13,13
1.9,30,30,30,25,25,25
2,20,20,20,43,43,43
2.1,10,10,10,27,27,27
2.2,20,20,20,25,25,25
2.3,30,30,30,23,23,23
2.4,20,20,20,25,25,25
2.5,10,10,10,47,47,47
2.6,20,20,20,14,14,14
2.7,30,30,30,14,14,14
2.8,20,20,20,26,26,26
2.9,10,10,10,44,44,44
3,20,20,20,28,28,28
3.1,30,30,30,26,26,26
3.2,20,20,20,24,24,24
3.3,10,10,10,26,26,26
3.4,20,20,20,48,48,48
3.5,30,30,30,15,15,15
3.6,20,20,20,15,15,15
3.7,10,10,10,27,27,27
3.8,20,20,20,45,45,45
3.9,30,30,30,29,29,29
4,20,20,20,27,27,27
4.1,10,10,10,25,25,25
4.2,20,20,20,27,27,27
4.3,30,30,30,49,49,49
4.4,20,20,20,16,16,16
4.5,10,10,10,16,16,16
4.6,20,20,20,28,28,28
4.7,30,30,30,46,46,46
4.8,20,20,20,30,30,30
4.9,10,10,10,28,28,28
5,20,20,20,26,26,26
5.1,30,30,30,28,28,28
5.2,20,20,20,50,50,50
5.3,10,10,10,17,17,17
5.4,20,20,20,17,17,17
5.5,30,30,30,29,29,29
5.6,20,20,20,47,47,47
5.7,10,10,10,31,31,31
5.8,20,20,20,29,29,29
5.9,30,30,30,27,27,27
6,20,20,20,29,29,29
6.1,10,10,10,51,51,51
6.2,20,20,20,18,18,18
6.3,30,30,30,18,18,18
6.4,20,20,20,30,30,30
6.5,10,10,10,48,48,48
6.6,20,20,20,32,32,32
6.7,30,30,30,30,30,30
6.8,20,20,20,28,28,28
6.9,10,10,10,30,30,30
7,20,20,20,52,52,52
7.1,30,30,30,19,19,19
7.2,20,20,20,19,19,19
7.3,10,10,10,31,31,31
7.4,20,20,20,49,49,49
7.5,30,30,30,33,33,33
7.6,20,20,20,31,31,31
7.7,10,10,10,29,29,29
7.8,20,20,20,31,31,31
7.9,30,30,30,53,53,53
8,20,20,20,20,20,20
8.1,10,10,10,20,20,20
8.2,20,20,20,32,32,32
8.3,30,30,30,50,50,50
8.4,20,20,20,34,34,34
8.5,10,10,10,32,32,32
8.6,20,20,20,30,30,30
8.7,30,30,30,32,32,32
8.8,20,20,20,54,54,54
8.9,10,10,10,21,21,21
9,20,20,20,21,21,21
9.1,30,30,30,33,33,33
9.2,20,20,20,51,51,51
9.3,10,10,10,35,35,35
9.4,20,20,20,33,33,33
9.5,30,30,30,31,31,31
9.6,20,20,20,33,33,33
9.7,10,10,10,55,55,55
9.8,20,20,20,22,22,22
9.9,30,30,30,22,22,22
10,20,20,20,34,34,34
