time,value
0.1,10
0.2,20
0.3,30
0.4,20
0.5,10
0.6,20
0.7,30
0.8,20
0.9,10
1,20
1.1,30
1.2,20
1.3,10
1.4,20
1.5,30
1.6,20
1.7,10
1.8,20
1.9,30
2,20
2.1,10
2.2,20
2.3,30
2.4,20
2.5,10
2.6,20
2.7,30
2.8,20
2.9,10
3,20
3.1,30
3.2,20
3.3,10
3.4,20
3.5,30
3.6,20
3.7,10
3.8,20
3.9,30
4,20
4.1,10
4.2,20
4.3,30
4.4,20
4.5,10
4.6,20
4.7,30
4.8,20
4.9,10
5,20
5.1,30
5.2,20
5.3,10
5.4,20
5.5,30
5.6,20
5.7,10
5.8,20
5.9,30
6,20
6.1,10
6.2,20
6.3,30
6.4,20
6.5,10
6.6,20
6.7,30
6.8,20
6.9,10
7,20
7.1,30
7.2,20
7.3,10
7.4,20
7.5,30
7.6,20
7.7,10
7.8,20
7.9,30
8,20
8.1,10
8.2,20
8.3,30
8.4,20
8.5,10
8.6,20
8.7,30
8.8,20
8.9,10
9,20
9.1,30
9.2,20
9.3,10
9.4,20
9.5,30
9.6,20
9.7,10
9.8,20
9.9,30
10,20
