year,co2_emissions_kt
1960,271218.654
1961,281211.229
1962,298706.486
1963,334019.696
1964,345303.055
1965,351852.317
1966,347235.564
1967,372009.816
1968,384631.63
1969,413259.899
1970,439013.24
1971,462434.369
1972,480729.032
1973,516599.626
1974,499071.366
1975,446919.292
1976,505602.293
1977,480857.377
1978,505858.983
1979,529155.434
1980,505363.938
1981,454700.666
1982,436893.714
1983,422603.415
1984,405342.846
1985,400880.107
1986,385614.386
1987,377491.981
1988,372207.834
1989,390649.177
1990,356240.0
1991,380650.0
1992,368590.0
1993,349420.0
1994,344400.0
1995,352240.0
1996,367900.0
1997,359070.0
1998,381110.0
1999,374900.0
2000,373120.0
2001,376730.0
2002,371019.989013672
2003,376709.991455078
2004,377790.008544922
2005,380660.003662109
2006,371549.987792969
2007,362829.986572266
2008,357989.990234375
2009,343730.010986328
2010,347779.998779297
2011,335140.014648438
2012,338420.013427734
2013,338559.997558594
2014,306100.006103516
2015,311299.987792969
2016,313920.013427734
2017,317829.986572266
2018,307049.987792969
2019,300519.989013672
2020,300789.656513545
2021,305652.545121118
2022,316562.431974055
2023,319454.954118733
